base_oid	dirty_set_sha	unit	subsystem	language	generated	test	blob_oid	path	start_line	end_line	reviewer	status	finding_ids	fix_commit	verification
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	agent-tooling	javascript	0	0	405fc0183b4eeb9f9c548a03ea3d7bf4aa07cc8e	.agents/agent-chat-server.mjs	1	369	codex/unit00_agent_chat_review	reviewed_fixed	PT-AGENT-CHAT-001,PT-AGENT-CHAT-002,PT-AGENT-CHAT-003,PT-AGENT-CHAT-004,PT-AGENT-CHAT-005	fddc5542,c6347f6c	Full 369-line baseline reviewed; focused integration passed 1/1; syntax and diff checks passed; loopback Host, raw JSON, Markdown, physical JSONL cursor, Unicode, control, and live-tail boundaries independently refuted
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	agent-tooling	toml	0	0	c8918e2579011c5279a813649af881950511de09	.agents/agent_assets_metadata.toml	1	8	codex/unit00_config_review	reviewed_clean			Full baseline file reviewed; metadata shape and referenced output record are valid
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	agent-tooling	yaml	0	0	7f44af8e32503e008c2d282f2b82ef9bfb4c5df0	.agents/skills/agent-supervisor/agents/openai.yaml	1	4	codex/unit00_config_review	reviewed_clean			Full baseline file reviewed; agent interface metadata matches the installed supervisor contract
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	agent-tooling	config	0	0	e5cd083df56c5f67bca2c0bce2c0eb94be0b10f5	.agents/skills/fable-mode/.gitignore	1	3	codex/unit00_config_review	reviewed_clean			Full baseline file reviewed; ignores cover only local generated/runtime skill artifacts
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	agent-tooling	shell	0	0	a53cb5a9dc00252003a04d485132d58a5260e9b6	.agents/skills/idea-refine/scripts/idea-refine.sh	1	15	codex/unit00_config_review	reviewed_fixed	PT-IDEA-REFINE-001	f57952c2	Full baseline wrapper and caller path reviewed; native mkdir replacement and deletion verified
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	agent-tooling	javascript	0	0	8530437337f93c3d65ef15fc315e6bcbd03aa280	.agents/skills/session-handoff/scripts/write-session-handoff.mjs	1	1543	external/session_handoff_writer	deferred_external_active			Full baseline and current dirty source reviewed; active owner retains uncommitted security/provenance work and unresolved concurrency/path-scope/Unicode findings
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	config	0	0	fad23b6ec08304fc581984df38bc3fd8c92b72f6	.env.example	1	671	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-005,PT-REPO-CONFIG-006	b11a4799,b20cec54,045c734b,0fb5d2ef	Full baseline inventory reviewed; indirect-env regression passed 1/1; audit documents 462 references; stale Replit settings and active current DB/Python/capsule controls reconciled
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	config	0	0	06ebbf416bf93385ccd068657a2bd25eda81f71e	.gitignore	1	122	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-007	f57952c2	Full baseline file reviewed; redundant narrow agent-skill ignores removed while the canonical broad ignore still matches
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	json	0	0	a60043dd47bbc7910840e19e330532abc2e646c5	.mcp.json	1	11	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-001	f57952c2	Full baseline file reviewed; tracked-source MCP launch and real initialize handshake verified
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	config	0	0	9090d6d97ad18e688be12a4f8cf8c0cf011d1c70	.nixfix/bin/node	1	1	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-002	f57952c2	Full baseline shim and caller census reviewed; zero-consumer absolute-path shim deleted
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	shell	0	0	c6ee612a4c8dadd25562ed48a6bdc8ae5f45b657	.nixfix/bin/pnpm	1	2	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-002	f57952c2	Full baseline shim and caller census reviewed; zero-consumer absolute-path shim deleted
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	config	0	0	61e34c2e5dde6b5b6b9d1a478945726c27993d4b	.npmrc	1	2	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-007	f57952c2	Full baseline file reviewed; duplicate peer-install setting removed and pnpm canonical config remains false
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	config	0	0	ac0cad27456921ae0c7be94a11c5045eabc9ddd8	.replit	1	45	codex/unit00_config_review	reviewed_fixed	PT-REPO-CONFIG-006	045c734b	Full baseline file and caller census reviewed; three orphaned settings removed; canonical/startup/env audits and recorded focused runtime validation passed
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	config	0	0	9eb019cd54e4f8ea1737967adb19aa1f53562cf2	.replitignore	1	5	codex/unit00_config_review	reviewed_clean			Full baseline file reviewed; deployment ignore contains only the duplicate local pnpm store
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	lock	1	0	dfa36c5e23adb1ca23de38d19356c071d1dc1222	Cargo.lock	1	2000	codex/unit00_config_review	reviewed_clean			Full 2,647-line baseline lock reviewed across both ranges; TOML v4 graph has 268 valid packages and HEAD blob is identical
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	lock	1	0	dfa36c5e23adb1ca23de38d19356c071d1dc1222	Cargo.lock	2001	2647	codex/unit00_config_review	reviewed_clean			Full 2,647-line baseline lock reviewed across both ranges; TOML v4 graph has 268 valid packages and HEAD blob is identical
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	00-repo-agent-config	repo-config	toml	0	0	6d66b71f7ea684f2e5b4c7c8b5df53672e36a383	Cargo.toml	1	3	codex/unit00_config_review	reviewed_clean			Full baseline workspace manifest reviewed; member and resolver match the locked Rust workspace
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	22-api-core-lib-ws	api-server	typescript	0	0	30754895426f56812c075f518b9703010bf39216	artifacts/api-server/__mint-agent-session.mts	1	62		pending			
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	22-api-core-lib-ws	api-server	typescript	0	0	8701f342fe9f9f66ee00d512ae5da247038cf98c	artifacts/api-server/__mint-qa-session.mts	1	91		pending			
0b9fbc9bf2b8a7f43a1fef0c6f9ef52d73191137	bf171d3798105c2b0680665decefef74ae552033ac17e4c1cfce3a3ff013e42f	22-api-core-lib-ws	api-server	typescript	0	0	1b0b3078216ddea8dd547dca66e4a48170fb704b	artifacts/api-server/audit-score-outcome-tmp.mts	1	283		pending			
