variantId,stage,status,eligible,ineligibleReason,pyrusSignalsPatch,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,error
diagnostic-no-mtf,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":false,""requiredCount"":1,""timeframes"":[""1m"",""2m"",""5m"",""15m"",""1h""],""preset"":""custom""}}}",8103,0.65,3.7191275167785234,40,0,8,16.206,90,216,48,40,
baseline-live-five-q1,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":1,""timeframes"":[""1m"",""2m"",""5m"",""15m"",""1h""],""preset"":""custom""}}}",4144,0.5833333333333334,2.5207339449541286,36,0,8,8.288,90,216,44,36,
baseline-default-five-q2,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""1m"",""2m"",""5m"",""15m"",""1h""],""preset"":""custom""}}}",3103,0.5757575757575758,2.1395519647447667,33,0,8,6.206,90,216,41,33,
scalp-q2,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""1m"",""2m"",""5m""],""preset"":""scalp""}}}",1994,0.5357142857142857,2.2070217917675543,28,0,7,3.988,90,214,35,28,
intraday-q2,MTF,succeeded,false,closed trades below 20,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""5m"",""15m"",""1h""],""preset"":""balanced""}}}",1812,0.6111111111111112,1.9653702717101758,18,0,9,3.624,90,216,27,18,
mixed-fast-hour-q2,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""1m"",""5m"",""1h""],""preset"":""balanced""}}}",1422,0.56,1.5272525027808677,25,725,8,1.961379,90,216,33,25,
balanced-six-q2,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""1m"",""2m"",""5m"",""15m"",""1h"",""1d""],""preset"":""six_frame""}}}",4144,0.5833333333333334,2.5207339449541286,36,0,8,8.288,90,216,44,36,
balanced-six-q3,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":3,""timeframes"":[""1m"",""2m"",""5m"",""15m"",""1h"",""1d""],""preset"":""six_frame""}}}",3093,0.5806451612903226,2.202098717450447,31,0,8,6.186,90,216,39,31,
higher-confirm-q2,MTF,succeeded,true,,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""15m"",""1h"",""1d""],""preset"":""higher_timeframe""}}}",3772,0.6428571428571429,2.8337384540593096,28,0,8,7.544,90,216,36,28,
higher-confirm-q3,MTF,succeeded,false,closed trades below 20,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":3,""timeframes"":[""15m"",""1h"",""1d""],""preset"":""higher_timeframe""}}}",2118,0.75,7.745222929936306,8,0,9,4.236,90,216,17,8,
swing-q2,MTF,succeeded,false,closed trades below 20,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""5m"",""15m"",""1h"",""1d""],""preset"":""higher_timeframe""}}}",1486,1,Infinity,3,0,1,2.972,90,68,4,3,
fast-plus-daily-q2,MTF,succeeded,false,closed trades below 20,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""1m"",""5m"",""1d""],""preset"":""balanced""}}}",526,1,Infinity,2,0,1,1.052,90,68,3,2,
hour-daily-q2,MTF,succeeded,false,closed trades below 20,{},"{""entryGate"":{""mtfAlignment"":{""enabled"":true,""requiredCount"":2,""timeframes"":[""1h"",""1d""],""preset"":""higher_timeframe""}}}",90,1,Infinity,1,0,0,0.18,90,66,1,1,
