variantId,stage,status,eligible,ineligibleReason,patch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,error
stage-a-h4,A,succeeded,true,,"{""timeHorizon"":4}",6945,0.46226415094339623,3.1408754623921085,106,816,3,8.511029,90,1960,109,106,
stage-a-h6,A,succeeded,true,,"{""timeHorizon"":6}",4044,0.39473684210526316,2.4007620367163147,76,623,3,6.491172,90,1428,79,76,
stage-a-h8,A,succeeded,true,,"{""timeHorizon"":8}",4798,0.5116279069767442,5.201401050788091,43,182,2,9.596,90,1138,45,43,
stage-a-h10,A,succeeded,false,closed trades below 20,"{""timeHorizon"":10}",0,0,0,0,0,0,0,90,901,0,0,
stage-a-h12,A,succeeded,false,closed trades below 20,"{""timeHorizon"":12}",859,0.47058823529411764,1.8119092627599245,17,359,0,1.718,90,769,17,17,
stage-a-h16,A,succeeded,true,,"{""timeHorizon"":16}",1963,0.48,2.9169921875,25,352,0,3.926,90,575,25,25,
stage-a-h20,A,succeeded,true,,"{""timeHorizon"":20}",1283,0.41379310344827586,1.9230215827338129,29,418,0,2.566,90,456,29,29,
stage-b-h8-bos-close-atr-0-body-0-vol-0,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0,""chochVolumeGate"":0}",4798,0.5116279069767442,5.201401050788091,43,182,2,9.596,90,1138,45,43,
stage-b-h8-bos-close-atr-0-body-0-vol-1,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0,""chochVolumeGate"":1}",4535,0.5111111111111111,3.9737704918032786,45,388,1,9.07,90,1021,46,45,
stage-b-h8-bos-close-atr-0-body-0p5-vol-0,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":0}",4019,0.5,3.9682422451994093,44,209,1,8.038,90,1089,45,44,
stage-b-h8-bos-close-atr-0-body-0p5-vol-1,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":1}",3853,0.4583333333333333,3.0130616509926855,48,388,1,7.706,90,956,49,48,
stage-b-h8-bos-close-atr-0p25-body-0-vol-0,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0,""chochVolumeGate"":0}",3825,0.5416666666666666,2.946564885496183,48,285,1,7.65,90,1011,49,48,
stage-b-h8-bos-close-atr-0p25-body-0-vol-1,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0,""chochVolumeGate"":1}",4916,0.5416666666666666,3.8075385494003426,48,388,0,9.832,90,935,48,48,
stage-b-h8-bos-close-atr-0p25-body-0p5-vol-0,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":0}",4378,0.5625,3.8745896257386736,48,538,1,8.137546,90,982,49,48,
stage-b-h8-bos-close-atr-0p25-body-0p5-vol-1,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0.25,""chochBodyExpansionAtr"":0.5,""chochVolumeGate"":1}",5529,0.5306122448979592,4.080222841225627,49,388,0,11.058,90,893,49,49,
stage-b-h8-bos-close-atr-0p5-body-0-vol-0,B,succeeded,true,,"{""timeHorizon"":8,""bosConfirmation"":""close"",""chochAtrBuffer"":0.5,""chochBodyExpansionAtr"":0,""chochVolumeGate"":0}",5321,0.5,4.985767790262172,40,292,1,10.642,90,931,41,40,
