symbol,reason,closedAt,pnl,quantity,entryPrice,exitPrice,peakPrice,postHigh,highVsExitPct,missedToHigh,holdMinutes,score,mtfMatches,adx,premiumAtRisk,finalAboveExit,recoveredEntry
AAOI,hard_stop,2026-05-26T19:12:26.004Z,-477.67,1,15.27,10.5,15.27,0,0,0,56.8,72,3,27.29,1527,,
AAOI,overnight_risk_exit,2026-05-22T19:56:45.596Z,31.33,1,14.63,14.95,15.6,0,0,0,194.7,76.2,3,18.72,1463,,
AAPL,unknown,2026-07-06T20:04:20.434Z,300.33,1,0,16.95,0,0,0,0,0,0,0,0,0,,
AAPL,runner_trail_stop,2026-06-12T13:39:36.679Z,-54.69,4,4.24,4.11,7.18,0,0,0,4017.2,90.3,5,19.96,1696,,
AAPL,unknown,2026-05-22T16:10:07.709Z,16.65,2,0,5.98,0,0,0,0,0,0,0,0,0,,
ABT,runner_trail_stop,2026-07-01T19:12:21.732Z,-676.73,10,0.75,0.08,1.1,0,0,0,36.9,52.9,0,35.66,750,,
ABT,unknown,2026-06-11T16:31:24.955Z,-1371.73,10,0,0.225,0,0,0,0,0,0,0,0,0,,
ABTC,overnight_risk_exit,2026-06-29T19:45:13.552Z,-6.73,10,0.77,0.77,0.77,0,0,0,40.9,52.9,0,28.91,770,,
ACHR,overnight_risk_exit,2026-06-02T19:56:07.592Z,-26.73,10,0.15,0.13,0.15,0,0,0,21.4,87.9,4,13.11,150,,
ACHR,opposite_signal,2026-05-29T18:59:13.304Z,-6.73,10,0.53,0.53,0.53,0,0,0,84.6,78.7,3,31.63,530,,
ACHR,early_invalidation,2026-05-27T18:37:58.227Z,-166.73,10,0.67,0.51,0.67,0,0,0,121.6,66.7,3,16.12,670,,
AFRM,runner_trail_stop,2026-06-09T17:44:51.415Z,-942.06,9,2.14,1.1,3.26,0,0,0,1415.7,84.2,4,0,1926,,
AIP,unknown,2026-06-18T20:00:02.672Z,566.33,1,0,22.3,0,0,0,0,0,0,0,0,0,,
ALAB,overnight_risk_exit,2026-07-01T19:45:15.877Z,-0.67,1,15,15,15,0,0,0,41.3,52.9,0,39.91,1500,,
AMD,overnight_risk_exit,2026-06-02T19:53:31.689Z,55.33,1,16.07,16.63,16.85,0,0,0,27.7,94.5,4,24.2,1607,,
AMZN,runner_trail_stop,2026-06-12T13:39:37.247Z,-1275.06,9,2.12,0.71,3.02,0,0,0,1195.9,76.3,1,24.36,1908,,
AMZN,runner_trail_stop,2026-05-29T13:30:03.278Z,-366.69,4,4.29,3.38,7.4,0,0,0,1246.8,74.6,3,15.98,1716,,
AMZN,overnight_risk_exit,2026-05-26T19:59:44.540Z,-29.35,2,6.74,6.6,6.74,0,0,0,2.3,68,2,18.93,1348,,
AMZN,runner_trail_stop,2026-05-22T16:39:43.528Z,314.65,2,6.3,7.88,10,0,0,0,1494.7,73.9,2,13.79,1260,,
ANET,opposite_signal,2026-05-22T14:03:35.356Z,596.64,5,2.5,3.7,3.7,0,0,0,1143.6,79.1,2,22.37,1250,,
APLD,runner_trail_stop,2026-06-04T18:54:34.947Z,383.27,10,1.27,1.66,2.12,0,0,0,128.7,84.2,3,19.45,1270,,
APLD,runner_trail_stop,2026-05-28T13:50:52.716Z,170.62,8,2.4,2.62,3.9,0,0,0,1262.6,74.7,3,16.18,1920,,
ARM,runner_trail_stop,2026-05-22T15:32:59.235Z,1336.33,1,9.83,23.2,28.83,0,0,0,1202,87.4,3,22.25,983,,
AVAV,opposite_signal,2026-05-27T15:59:00.549Z,-514.69,4,4.73,3.45,4.73,0,0,0,27,60,3,43.59,1892,,
AVGO,runner_trail_stop,2026-06-04T18:17:48.191Z,270.65,2,6.77,8.13,11.2,0,0,0,74.2,91.7,2,25.48,1354,,
BAC,runner_trail_stop,2026-07-02T13:31:16.146Z,103.27,10,0.55,0.66,1.1,0,0,0,1.1,46.5,0,17.54,550,,
BE,runner_trail_stop,2026-06-12T15:52:10.321Z,331.33,1,17.14,20.46,28.58,0,0,0,1255.5,83.6,2,15.76,1714,,
CCJ,early_invalidation,2026-06-25T16:32:14.046Z,-434.69,4,3.75,2.67,3.75,0,0,0,64.2,35.7,0,35.74,1500,,
CCJ,unknown,2026-06-05T20:00:32.665Z,-1896.73,10,0,0.03,0,0,0,0,0,0,0,0,0,,
AAOI,unknown,2026-06-05T20:00:32.665Z,-1163.67,1,0,0.28,0,0,0,0,0,0,0,0,0,,
