status,reason,symbol,optionTicker,side,fillPrice,occurredAt,provenanceSource,providerResultCount,recordedTradeAt,recordedTradePrice,recordedMarkPrice,firstProviderTradeAt,firstProviderTradePrice,recordedPriceExistsInTradeWindow,recordedTimestampWithin1ms,exactAggregateAt,exactAggregateClose,nearbyAggregateAt,nearbyAggregateClose,fillId,orderId,error
matched,"first provider trade, recorded price, and recorded timestamp match",AMD,O:AMD260402C00205000,buy,4.95,2026-04-01T13:30:00.000Z,polygon-option-trade,56,2026-04-01T13:30:00.380Z,4.95,4.25,2026-04-01T13:30:00.380Z,4.95,true,true,,,,,9440774e-7f44-46e3-915a-88279abf6f7f,2b076a90-c6ef-4f23-afe6-fe5dd6b34817,
matched,"first provider trade, recorded price, and recorded timestamp match",MRVL,O:MRVL260402C00100000,buy,2.4,2026-04-01T13:30:00.000Z,polygon-option-trade,26,2026-04-01T13:30:00.700Z,2.4,2.71,2026-04-01T13:30:00.700Z,2.4,true,true,,,,,c27f245e-d381-4155-8f7b-f0fc14944dc6,20c0eb60-bdaa-483a-983d-6b4878225b1a,
matched,"first provider trade, recorded price, and recorded timestamp match",QCOM,O:QCOM260402C00126000,buy,3.13,2026-04-01T13:30:00.000Z,polygon-option-trade,1,2026-04-01T13:30:09.513Z,3.13,3.13,2026-04-01T13:30:09.513Z,3.13,true,true,,,,,1f474d63-f0f4-48fb-bf59-d8a290e5ac23,50235080-c9fd-41e5-aafe-44a23a817af0,
matched,"first provider trade, recorded price, and recorded timestamp match",SMH,O:SMH260402C00385000,buy,6.12,2026-04-01T13:30:00.000Z,polygon-option-trade,2,2026-04-01T13:30:50.393Z,6.12,5.88,2026-04-01T13:30:50.393Z,6.12,true,true,,,,,d349f323-a312-4648-bf52-48b379dd0c6a,a78fa810-4127-4117-a532-9fb0269be4f5,
matched,"first provider trade, recorded price, and recorded timestamp match",TSM,O:TSM260402C00340000,buy,6.55,2026-04-01T13:30:00.000Z,polygon-option-trade,8,2026-04-01T13:30:03.064Z,6.55,5.7,2026-04-01T13:30:03.064Z,6.55,true,true,,,,,a8c1fdce-dbff-41b7-aa5a-5b56ac3199b3,00844d77-9874-4e74-8117-c839760ea6f2,
matched,exact 1-minute aggregate close matches fill price,CLSK,O:CLSK260402C00008000,buy,0.7,2026-04-01T13:31:00.000Z,polygon-option-aggregates,1,,,0.7,,,,,2026-04-01T13:31:00.000Z,0.7,2026-04-01T13:31:00.000Z,0.7,e019bdce-cab1-4e75-b0b7-01c175f68f61,718faec3-2933-4e90-8a96-c65bb6030919,
matched,exact 1-minute aggregate close matches fill price,DELL,O:DELL260402C00165000,buy,2.95,2026-04-01T13:31:00.000Z,polygon-option-aggregates,3,,,2.95,,,,,2026-04-01T13:31:00.000Z,2.95,2026-04-01T13:31:00.000Z,2.95,9965346e-9309-4d6b-894b-66ed94d60532,72b07b45-1571-40e4-938d-4399f1e44e2e,
matched,"first provider trade, recorded price, and recorded timestamp match",QCOM,O:QCOM260402C00126000,sell,1.77,2026-04-01T13:33:00.000Z,polygon-option-trade,1,2026-04-01T13:33:57.913Z,1.77,1.77,2026-04-01T13:33:57.913Z,1.77,true,true,,,,,80efff54-be39-4609-aa53-59611393dc0d,ea43137f-bb6b-4220-b8cb-03005a80996f,
matched,"first provider trade, recorded price, and recorded timestamp match",OKLO,O:OKLO260402C00050000,buy,1.8,2026-04-01T13:35:00.000Z,polygon-option-trade,4,2026-04-01T13:35:05.037Z,1.8,2.2,2026-04-01T13:35:05.037Z,1.8,true,true,,,,,53fbc638-0657-4d4e-a6dc-0dc6ffa19f11,0910a389-2d8a-4af8-a7a5-e4c1c683f7ef,
matched,"first provider trade, recorded price, and recorded timestamp match",MRVL,O:MRVL260402C00100000,sell,4.28,2026-04-01T13:40:00.000Z,polygon-option-trade,21,2026-04-01T13:40:02.277Z,4.28,4,2026-04-01T13:40:02.277Z,4.28,true,true,,,,,e084d45a-d1bb-486c-809f-de9235750c2b,854f0892-89ed-415c-b75a-3b268bae086d,
matched,"first provider trade, recorded price, and recorded timestamp match",AMD,O:AMD260402C00205000,sell,6.05,2026-04-01T13:43:00.000Z,polygon-option-trade,7,2026-04-01T13:43:00.472Z,6.05,5.37,2026-04-01T13:43:00.472Z,6.05,true,true,,,,,91249e50-47d8-46f6-9279-b3c30429ad4a,ae0c6e17-7af5-47ee-b3b0-26ee786d8c1e,
nearby_close_only,"no exact-minute bar, but a nearby 1-minute close matches fill price",OKLO,O:OKLO260402C00050000,sell,2.2,2026-04-01T13:45:00.000Z,polygon-option-aggregates,2,,,2.2,,,,,,,2026-04-01T13:43:00.000Z,2.2,3dfa19a1-f452-4281-8a7a-a5457571b7b0,c6d1dca5-5208-4603-8977-d45fe6002467,
matched,"first provider trade, recorded price, and recorded timestamp match",TSM,O:TSM260402C00340000,sell,7.1,2026-04-01T13:55:00.000Z,polygon-option-trade,4,2026-04-01T13:55:18.955Z,7.1,7.2,2026-04-01T13:55:18.955Z,7.1,true,true,,,,,4a294596-a6bc-49f0-b8aa-1b67fe6e5797,c03c4e65-cfa9-4b10-90cd-03b568fc72ef,
matched,"first provider trade, recorded price, and recorded timestamp match",SMCI,O:SMCI260402C00022000,buy,1.25,2026-04-01T14:05:00.000Z,polygon-option-trade,1,2026-04-01T14:05:08.808Z,1.25,1.25,2026-04-01T14:05:08.808Z,1.25,true,true,,,,,bdb7e615-c556-44dc-a43b-a4a2fc35cace,472cbede-036d-4ad9-abae-ea7e865ac022,
