variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
early-grid-disabled,succeeded,false,closed trades below 20,Winning combo with early invalidation disabled.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":0,""earlyExitLossPct"":0}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,17,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":10,""historical_option_bars_unavailable"":3}",98397,
early-grid-b2-loss12p5,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 2 bars at -12.5%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":2,""earlyExitLossPct"":12.5}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,17,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":10,""historical_option_bars_unavailable"":3}",137615,
early-grid-b3-loss15,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 3 bars at -15%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":3,""earlyExitLossPct"":15}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,17,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":10,""historical_option_bars_unavailable"":3}",58205,
early-grid-b4-loss15,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 4 bars at -15%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":4,""earlyExitLossPct"":15}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,15,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":2}",11854,
early-grid-b4-loss20,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 4 bars at -20%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":4,""earlyExitLossPct"":20}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,15,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":2}",11198,
early-grid-b6-loss20,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 6 bars at -20%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":6,""earlyExitLossPct"":20}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,15,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":2}",11278,
early-grid-b8-loss20,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 8 bars at -20%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":20}}",538,1,Infinity,3,0,1,1.076,0,0,0,0,0,0,0,9,15,4,3,"{""opposite_signal"":1,""runner_trail_stop"":2}","{""mtf_not_aligned"":9,""historical_option_bars_unavailable"":2}",11579,
early-grid-b8-loss25,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 8 bars at -25%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":8,""earlyExitLossPct"":25}}",248,1,Infinity,1,0,1,0.496,0,0,0,0,0,0,0,9,13,2,1,"{""runner_trail_stop"":1}","{""mtf_not_aligned"":8,""historical_option_bars_unavailable"":3}",10245,
early-grid-b10-loss25,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 10 bars at -25%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":10,""earlyExitLossPct"":25}}",248,1,Infinity,1,0,1,0.496,0,0,0,0,0,0,0,9,13,2,1,"{""runner_trail_stop"":1}","{""mtf_not_aligned"":8,""historical_option_bars_unavailable"":3}",10137,
early-grid-b12-loss30,succeeded,false,closed trades below 20,"Winning combo, early invalidation after 12 bars at -30%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30,""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20,""tightenAtFiveXGivebackPct"":30,""tightenAtTenXGivebackPct"":15,""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15,""earlyExitBars"":12,""earlyExitLossPct"":30}}",248,1,Infinity,1,0,1,0.496,0,0,0,0,0,0,0,9,13,2,1,"{""runner_trail_stop"":1}","{""mtf_not_aligned"":8,""historical_option_bars_unavailable"":3}",10308,
