variantId,status,eligible,ineligibleReason,description,profilePatch,realizedPnl,winRate,profitFactor,closedTrades,maxDrawdownAbs,openPositions,riskAdjustedScore,earlyInvalidations,earlyRecoveredEntry,earlyReached25Gain,earlyReached50Gain,earlyFinalAboveExit,earlyFinalAboveEntry,earlySparseOutcomeBars,wireTrailSnapshots,wireTrailEnabled,wireTrailActive,wireStructureBreaks,wireStructureBreakExits,wireRegimeFlipAgainstPosition,wireGreekFresh,wireGreekUnavailable,wireDeltaSizedGiveback,wireBaselineRungs,wireSelectedRungs,wireGreekFallbackReasons,wireGreekAdjustmentReasons,symbolsEvaluated,signalsEvaluated,entriesOpened,exitsClosed,exitReasons,skippedReasons,durationMs,error
baseline-current-exits,succeeded,false,closed trades below 20,"Current exit policy, configured horizon, 5m, 10 symbols max, 5% premium cap.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",709378,
hard-stop-25,succeeded,false,closed trades below 20,Tighter hard stop at -25%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-25}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",2508,
hard-stop-30,succeeded,false,closed trades below 20,Tighter hard stop at -30%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-30}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1230,
hard-stop-35,succeeded,false,closed trades below 20,Tighter hard stop at -35%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""hardStopPct"":-35}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1128,
trail-30-15-20,succeeded,false,closed trades below 20,"Earlier trail at +30%, lock +15%, give back 20%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""trailActivationPct"":30,""minLockedGainPct"":15,""trailGivebackPct"":20}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1131,
trail-35-15-20,succeeded,false,closed trades below 20,"Trail at +35%, lock +15%, give back 20%.","{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""trailActivationPct"":35,""minLockedGainPct"":15,""trailGivebackPct"":20}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1527,
early-3-bars-loss-15,succeeded,false,closed trades below 20,Exit if still down 15% after 3 signal bars.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""earlyExitBars"":3,""earlyExitLossPct"":15}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1171,
early-6-bars-loss-20,succeeded,false,closed trades below 20,Exit if still down 20% after 6 signal bars.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""earlyExitBars"":6,""earlyExitLossPct"":20}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1500,
overnight-positive-only,succeeded,false,closed trades below 20,Do not hold overnight unless position is at least flat.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""overnightExitEnabled"":true,""overnightMinGainPct"":0,""overnightRunnerGivebackPct"":15}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1165,
overnight-gain-10,succeeded,false,closed trades below 20,Do not hold overnight unless mark is up at least 10%.,"{""riskCaps"":{""maxOpenSymbols"":10,""maxPremiumPerEntry"":1500},""exitPolicy"":{""overnightExitEnabled"":true,""overnightMinGainPct"":10,""overnightRunnerGivebackPct"":15}}",2392,1,Infinity,3,0,1,4.784,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,3,"{""wire3"":1,""wire1"":2}","{""wire3"":1,""wire1"":2}","{""missing_greeks"":3}","{""greeks_unavailable"":3}",17,347,4,3,"{""runner_trail_stop"":3}","{""mtf_not_aligned"":343}",1273,
