symbol,reason,closedAt,pnl,quantity,entryPrice,exitPrice,peakPrice,postHigh,highVsExitPct,missedToHigh,holdMinutes,score,mtfMatches,adx,premiumAtRisk,finalAboveExit,recoveredEntry
AVAV,opposite_signal,2026-05-27T15:59:00.549Z,-514.69,4,4.73,3.45,4.73,0,0,0,27,60,3,43.59,1892,,
USO,early_invalidation,2026-05-27T16:02:28.040Z,-558.36,5,3.86,2.75,3.86,0,0,0,35.6,58.6,2,16.52,1930,,
JOBY,runner_trail_stop,2026-05-27T17:02:32.575Z,83.27,10,0.61,0.7,0.8,0,0,0,26.6,82.7,3,18.31,610,,
RGTI,early_invalidation,2026-05-27T17:58:12.007Z,-556.73,10,1.81,1.26,1.95,0,0,0,70.4,75.6,3,17.62,1810,,
KTOS,early_invalidation,2026-05-27T18:09:47.289Z,-461.38,8,2.47,1.9,2.47,0,0,0,97.8,80,3,16.17,1976,,
ACHR,early_invalidation,2026-05-27T18:37:58.227Z,-166.73,10,0.67,0.51,0.67,0,0,0,121.6,66.7,3,16.12,670,,
QBTS,early_invalidation,2026-05-27T19:00:08.553Z,-446.73,10,1.89,1.45,2.04,0,0,0,132.1,77.6,3,20.97,1890,,
CLSK,runner_trail_stop,2026-05-27T19:07:12.064Z,153.27,10,1.3,1.46,1.89,0,0,0,138.5,73.4,3,13.96,1300,,
RKLB,opposite_signal,2026-05-27T19:23:45.770Z,-83.35,2,6.79,6.38,8,0,0,0,185.3,93.3,3,25.51,1358,,
META,runner_trail_stop,2026-05-27T19:27:41.491Z,137.33,1,12.75,14.13,17.5,0,0,0,46.3,78.2,3,21.96,1275,,
SPY,overnight_risk_exit,2026-05-27T19:46:13.829Z,-62.02,3,5.1,4.9,5.1,0,0,0,30.6,73.2,3,13.68,1530,,
COIN,overnight_risk_exit,2026-05-27T19:47:12.877Z,-146.02,3,5.38,4.9,5.38,0,0,0,23.7,68.8,2,20.29,1614,,
CORZ,overnight_risk_exit,2026-05-27T19:50:00.299Z,73.27,10,1.49,1.57,1.85,0,0,0,297.3,78.7,3,28.22,1490,,
TQQQ,overnight_risk_exit,2026-05-27T19:52:40.589Z,-16.73,10,1.89,1.88,1.96,0,0,0,61.2,73.3,3,13.85,1890,,
DELL,overnight_risk_exit,2026-05-27T19:52:43.585Z,-303.67,1,18.89,15.86,18.89,0,0,0,60.9,69.2,3,7.08,1889,,
TLT,overnight_risk_exit,2026-05-27T19:59:16.726Z,-26.73,10,0.23,0.21,0.23,0,0,0,2.1,72.3,3,12.13,230,,
APLD,runner_trail_stop,2026-05-28T13:50:52.716Z,170.62,8,2.4,2.62,3.9,0,0,0,1262.6,74.7,3,16.18,1920,,
CRWV,runner_trail_stop,2026-05-28T16:34:13.731Z,769.31,4,4.2,6.13,8.66,0,0,0,1233.8,66.7,2,16.75,1680,,
RKLB,runner_trail_stop,2026-05-28T19:17:37.529Z,-398.69,4,4.93,3.94,6.15,0,0,0,138.2,92.1,3,22.99,1972,,
VRT,hard_stop,2026-05-28T19:40:36.260Z,-707.02,3,6.39,4.04,6.39,0,0,0,147.7,63.7,2,36.99,1917,,
AMZN,runner_trail_stop,2026-05-29T13:30:03.278Z,-366.69,4,4.29,3.38,7.4,0,0,0,1246.8,74.6,3,15.98,1716,,
RBLX,hard_stop,2026-05-29T14:29:12.181Z,-646.73,10,1.07,0.43,1.07,0,0,0,1113.5,66.9,3,16.44,1070,,
LUNR,hard_stop,2026-05-29T14:31:37.280Z,-676.04,6,3.17,2.05,3.17,0,0,0,55.3,71.7,3,24.42,1902,,
